
Hackers	event
attack	event
Church	event
of	event
Scientology	event
website	event

Sunday	time
,	time
January	time
20	time
,	time
2008	time

Wikinews	organization
has	O
learned	O
that	O
according	O
to	O
an	object
Internet	object
posting	object
made	O
just	time
over	time
24	time
hours	time
ago	time
,	O
the	event
Church	event
of	event
Scientology	event
's	event
website	event
is	event
being	event
attacked	event
by	event
hackers	event
,	O
causing	O
the	place
site	place
to	O
shut	O
down	O
.	O

The	event
attack	event
was	O
launched	O
on	time
Wednesday	time
by	O
a	person
user	person
labelled	O
"	O
Anonymous	person
"	O
,	O
on	O
the	object
website	object
"	O
Insurgency	object
Wiki	object
"	O
,	O
a	object
spinoff	object
of	object
4chan	object
.	O

The	object
"	object
History	object
"	object
section	object
of	object
the	object
site	object
explains	O
,	O
in	O
a	O
satirical	O
fashion	O
,	O
that	O
the	event
incident	event
was	O
prompted	O
by	O
the	event
Church	event
of	event
Scientology	event
's	event
attempts	event
to	event
remove	event
a	event
promotional	event
video	event
featuring	event
Scientologist	event
Tom	event
Cruise	event
from	event
YouTube	event
.	O

Though	O
YouTube	place
is	O
complying	O
with	O
the	event
Church	event
of	event
Scientology	event
's	event
requests	event
to	event
take	event
down	event
the	event
video	event
,	O
other	place
sites	place
such	place
as	place
Gawker.com	place
have	O
stated	O
that	O
they	event
will	event
keep	event
hosting	event
the	event
video	event
.	O

"	O
So	O
far	O
,	O
it	O
's	O
the	event
Internet	event
:	event
1	event
,	event
Scientology	event
:	event
0	event
.	O
But	O
it	event
's	O
a	event
long	event
game	event
.	O
"	O
-	O
Matthew	person
Ingram	person

Writing	O
in	O
a	abstract
blog	abstract
post	abstract
,	O
Matthew	person
Ingram	person
of	person
The	person
Globe	person
and	person
Mail	person
dubbed	O
the	event
ongoing	event
conflict	event
involving	event
the	event
Church	event
of	event
Scientology	event
's	event
attempts	event
to	event
remove	event
the	event
Cruise	event
video	event
from	event
the	event
Internet	event
:	O
"	O
Scientology	event
vs.	event
the	event
Internet	event
,	event
part	event
XVII	event
"	O
.	O

He	person
characterized	O
the	event
conflict	event
between	event
the	event
Church	event
of	event
Scientology	event
and	event
anonymous	event
posters	event
of	event
the	event
Cruise	event
video	event
as	O
"	O
another	event
small	event
skirmish	event
in	event
a	event
war	event
that	event
Scientology	event
has	event
been	event
waging	event
for	event
almost	event
15	event
years	event
,	O
since	O
the	time
early	time
days	time
of	time
newsgroups	time
such	O
as	O
alt.religion.scientology	place
,	O
which	O
posted	O
internal	object
church	object
documents	object
in	O
1994	time
.	O

Lawsuits	event
have	event
been	event
filed	event
,	event
mailing	event
lists	event
have	event
been	event
shut	event
down	event
,	event
homes	event
of	event
discussion	event
group	event
participants	event
have	event
been	event
raided	event
and	event
their	event
computers	event
seized	event
--	O
an	event
all-out	event
war	event
.	O
"	O

"	O
Prompted	O
I	person
think	O
by	O
the	object
Tom	object
Cruise	object
video	object
,	O
a	abstract
new	abstract
obsession	abstract
is	O
taking	O
hold	O
on	O
the	place
internet	place
.	O
An	organization
insurgency	organization
against	organization
The	organization
Church	organization
of	organization
Scientology	organization
.	O
"	O
Anonymous	person
blogger	person
,	O
"	O
Anon	event
declares	event
war	event
on	event
Church	event
of	event
Scientology	event
"	O

One	person
poster	person
admitted	O
to	O
being	O
a	abstract
part	abstract
of	abstract
the	abstract
effort	abstract
,	O
writing	O
in	O
a	object
blog	object
post	object
