
Parents	person
prosecuted	O
after	O
homeopathic	event
treatment	event
leads	O
to	O
daughter	event
's	event
death	event

Friday	time
,	O
May	time
8	time
,	time
2009	time

Thomas	person
Sam	person
,	O
42	person
,	O
and	O
his	person
wife	person
Manju	person
Sam	person
,	O
36	person
,	O
from	O
Sydney	place
,	place
Australia	place
,	O
are	O
undergoing	O
trial	event
for	event
manslaughter	event
by	event
gross	event
negligence	event
for	O
the	event
death	event
of	event
their	event
nine-month-old	event
child	event
,	O
Gloria	person
.	O

She	person
died	O
from	O
infection	abstract
caused	O
by	O
severe	abstract
eczema	abstract
after	O
they	person
shunned	O
effective	O
conventional	abstract
medical	abstract
treatments	abstract
for	O
homeopathy	abstract
,	O
a	abstract
form	abstract
of	abstract
alternative	abstract
medicine	abstract
that	O
has	O
been	O
described	O
as	O
pseudoscience	abstract
.	O

Articles	abstract
in	abstract
peer-reviewed	abstract
academic	abstract
journals	abstract
including	abstract
Social	abstract
Science	abstract
&	abstract
Medicine	abstract
have	O
characterized	O
homeopathy	abstract
as	O
a	abstract
form	abstract
of	abstract
quackery	abstract
.	O

An	abstract
example	abstract
of	abstract
severe	abstract
eczema	abstract
.	O

Image	object
:	object
Jambula	object
.	O

Gloria	person
developed	O
severe	abstract
eczema	abstract
at	O
the	abstract
age	abstract
of	abstract
four	abstract
months	abstract
and	O
the	person
parents	person
were	O
advised	O
to	O
send	O
the	person
child	person
to	O
a	person
skin	person
specialist	person
.	O

Thomas	person
Sam	person
,	O
a	person
practising	person
homeopath	person
,	O
instead	O
decided	O
to	O
treat	O
his	person
daughter	person
himself	person
.	O

His	abstract
daughter	abstract
's	abstract
condition	abstract
deteriorated	O
,	O
to	O
the	O
point	O
that	O
the	person
baby	person
spent	O
all	abstract
her	abstract
energy	abstract
battling	O
the	abstract
infections	abstract
caused	O
by	O
the	abstract
constant	abstract
breaking	abstract
of	abstract
the	abstract
skin	abstract
,	O
leading	O
to	O
severe	abstract
malnutrition	abstract
and	O
,	O
eventually	O
,	O
her	event
death	event
.	O

By	O
the	event
end	event
,	O
Gloria	abstract
's	abstract
eczema	abstract
was	O
so	O
severe	O
that	O
her	object
skin	object
broke	O
every	O
time	O
her	person
parents	person
changed	O
her	object
clothes	object
or	O
nappy	object
,	O
and	O
in	O
the	abstract
words	abstract
of	abstract
the	abstract
Crown	abstract
prosecutor	abstract
,	O
Mark	person
Tedeschi	person
,	O
QC	person
,	O
"	O
Gloria	person
spent	O
a	time
lot	time
of	time
the	time
last	time
five	time
months	time
of	time
her	time
life	time
crying	O
,	O
irritable	O
,	O
scratching	O
and	O
the	event
only	event
thing	event
that	O
gave	O
her	person
solace	abstract
was	O
to	event
suck	event
on	event
her	event
mother	event
's	event
breast	event
.	O
"	O

Gloria	person
also	O
became	O
unable	O
to	O
move	O
her	object
legs	object
.	O

Mr.	person
Tedeschi	person
also	O
told	O
the	organization
court	organization
that	O
,	O
over	O
the	time
last	time
five	time
months	time
of	time
her	time
life	time
,	O
"	O
Gloria	abstract
's	abstract
eczema	abstract
played	O
a	abstract
devastating	abstract
role	abstract
in	O
her	abstract
overall	abstract
health	abstract
and	O
it	O
is	O
asserted	O
by	O
the	organization
Crown	organization
that	O
both	person
her	person
parents	person
knew	O
this	O
and	O
discussed	O
it	O
with	O
each	person
other	person
.	O
"	O

However	O
,	O
despite	O
their	abstract
child	abstract
's	abstract
severe	abstract
illness	abstract
,	O
and	O
her	abstract
lack	abstract
of	abstract
improvement	abstract
,	O
the	person
Sams	person
continued	O
to	O
shun	O
conventional	abstract
medical	abstract
treatment	abstract
,	O
instead	O
seeking	O
help	abstract
from	O
other	person
homeopaths	person
and	O
naturopaths	person
.	O

Gloria	person
temporarily	O
improved	O
during	O
the	time
rare	time
times	time
they	person
used	O
conventional	abstract
treatments	abstract
,	O
but	O
they	person
soon	O
dropped	O
them	abstract
in	O
favour	O
of	O
homeopathy	abstract
,	O
and	O
she	person
consistently	O
worsened	O
.	O

Allegedly	O
,	O
Thomas	person
'	person
sister	person
pleaded	O
with	O
him	person
to	O
send	O
Gloria	person
to	O
a	person
conventional	person
medical	person
doctor	person
,	O
but	O
he	person
replied	O
"	O
I	person
am	O
not	O
able	O
to	O
do	O
that	O
"	O
.	O

The	person
parents	person
are	O
also	O
accused	O
of	O
putting	O
their	abstract
social	abstract
life	abstract
ahead	O
of	O
their	person
child	person
,	O
taking	O
her	person
on	O
a	event
trip	event
to	event
India	event
and	O
leaving	O
her	person
to	O
servants	person
while	O
embarking	O
on	O
a	abstract
busy	abstract
social	abstract
schedule	abstract
,	O
and	O
giving	O
her	person
homeopathic	substance
drops	substance
instead	O
of	O
using	O
the	substance
prescription	substance
creams	substance
they	person
had	O
been	O
given	O
.	O

Gloria	person
was	O
finally	O
taken	O
to	O
the	place
emergency	place
department	place
shortly	time
before	time
her	time
death	time
.	O

By	O
this	time
time	time
,	O
"	O
her	object
skin	object
was	O
weeping	O
,	O
her	object
body	object
malnourished	O
and	O
her	object
corneas	object
melting	O
"	O
,	O
according	O
to	O
the	organization
Sydney	organization
Morning	organization
Herald	organization
.	O

Speaking	O
in	O
the	O
parents	person
'	person
defense	O
,	O
Tom	person
Molomby	person
,	O
SC	person
,	O
said	O
that	O
,	O
as	O
the	person
parents	person
came	O
from	O
India	place
,	O
where	O
homeopathy	abstract
is	O
in	O
common	O
use	O
,	O
they	person
should	O
be	O
declared	O
not	O
guilty	O
due	O
to	O
cultural	abstract
differences	abstract
.	O

Homeopathy	abstract
is	O
a	abstract
form	abstract
of	abstract
alternative	abstract
medicine	abstract
which	O
treats	O
patients	person
with	O
massively	substance
diluted	substance
forms	substance
of	substance
substances	substance
that	O
,	O
if	O
given	O
to	O
a	O
healthy	O
person	person
undiluted	O
,	O
would	O
cause	O
symptoms	abstract
similar	O
to	O
the	abstract
disease	abstract
.	O

