
Cleveland	place
is	O
a	O
culturally	O
diverse	O
city	O
on	O
the	place
shores	place
of	O
Lake	place
Erie	place
,	O
one	place
of	place
the	place
Great	place
Lakes	place
,	O
in	place
Cuyahoga	place
County	place
,	place
Ohio	place
,	place
USA	place
.	O

Recreational	abstract
,	abstract
cultural	abstract
and	abstract
educational	abstract
opportunities	abstract
are	O
abundant	O
throughout	O
Northeast	place
Ohio	place
.	O

You	O
ll	O
find	O
world-class	place
museums	place
and	O
cultural	event
events	event
,	O
professional	abstract
sports	abstract
and	O
amusement	place
parks	place
,	O
and	O
the	place
most	place
golf	place
courses	place
per	O
capita	O
in	O
the	place
United	place
States	place
.	O

Places	organization
Rated	organization
Almanac	organization
ranks	O
the	place
area	place
second	O
in	O
recreational	abstract
options	abstract
out	O
of	O
354	O
US	place
metro	O
areas	O
.	O

Plus	O
,	O
this	place
region	place
ranks	O
fifth	O
in	O
the	place
nation	place
in	O
number	O
of	O
major	abstract
cultural	abstract
resources	abstract
per	O
one	O
million	O
residents	O
.	O

Understand	O

Cleveland	place
from	O
lakefront	place
.	O

Cleveland	place
is	O
the	O
urban	O
center	O
of	O
Northeast	place
Ohio	place
,	O
the	place
15th	place
largest	place
combined	place
metropolitan	place
area	place
in	place
the	place
United	place
States	place
.	O

Throughout	O
the	time
twentieth	time
century	time
,	O
the	place
City	place
of	place
Cleveland	place
proper	place
was	O
ranked	O
as	O
one	place
of	place
the	place
10	place
largest	place
cities	place
in	place
the	place
U.S.	place
(	O
from	O
1890	time
until	O
1970	time
per	O
US	place
Census	O
Bureau	O
statistics	O
)	O
.	O

Like	O
most	O
U.S.	place
cities	O
,	O
Cleveland	place
proper	place
began	O
to	O
lose	O
population	O
to	O
suburban	place
areas	place
in	O
the	time
1960s	time
and	O
1970s	time
.	O

However	O
,	O
in	O
the	time
mid-1980s	time
,	O
Cleveland	place
earned	O
the	abstract
nickname	abstract
the	place
"	place
Comeback	place
City	place
'	O
as	O
the	place
urban	place
core	place
experienced	O
a	event
dramatic	event
revitalization	event
process	event
that	O
continues	O
today	time
.	O

As	O
its	event
"	event
comeback	event
'	O
has	O
continued	O
,	O
the	abstract
official	abstract
moniker	abstract
is	O
now	O
the	O
New	O
American	O
City	O
as	O
Cleveland	place
has	O
rightfully	O
earned	O
the	O
reputation	O
as	O
a	O
model	O
of	O
effective	abstract
public-private	abstract
partnership	abstract
for	O
urban	abstract
planning	abstract
.	O

Despite	O
the	O
common	abstract
perception	abstract
that	O
Cleveland	place
is	O
an	place
industrial	place
town	place
,	O
just	O
beyond	O
the	object
automotive	object
and	object
steel	object
plants	object
,	O
a	place
clean	place
and	place
beautiful	place
downtown	place
rises	O
at	O
the	place
mouth	place
of	O
the	place
Cuyahoga	place
River	place
on	O
the	place
southern	place
shore	place
of	O
Lake	place
Erie	place
(	O
often	O
marvelled	O
over	O
by	O
visitors	person
who	O
are	O
surprised	O
you	O
ca	O
n't	O
see	O
the	place
other	place
side	place
,	O
i.e.	O
,	O
Canada	place
)	O
.	O

Like	O
other	O
cities	O
in	O
the	place
so-called	place
"	place
rust	place
belt	place
“	O
,	O
Cleveland	place
has	O
endured	O
growing	O
pains	O
as	O
it	place
makes	O
its	event
transition	event
from	O
a	abstract
manufacturing-based	abstract
economy	abstract
.	O

While	O
Cleveland	place
continues	O
to	O
play	O
a	abstract
leading	abstract
role	abstract
in	O
building	O
the	abstract
U.S.	abstract
industrial	abstract
base	abstract
,	O
it	event
has	event
also	event
developed	event
economic	event
prowess	event
in	event
the	event
fields	event
of	event
health	event
care	event
,	event
law	event
,	event
finance	event
,	event
insurance	event
,	event
real	event
estate	event
development	event
,	event
and	event
professional	event
services	event
.	O

Rock	O
and	O
Roll	O
Hall	O
of	O
Fame	O
and	O
Museum	O

Another	O
thing	abstract
non-locals	person
do	O
n't	O
often	O
realize	O
is	O
that	O
Cleveland	abstract
's	abstract
long	abstract
history	abstract
of	abstract
industrial	abstract
wealth	abstract
has	abstract
left	abstract
it	abstract
chock	abstract
full	abstract
of	abstract
cultural	abstract
riches	abstract
as	abstract
well	abstract
as	abstract
the	abstract
beginnings	abstract
of	abstract
a	abstract
"	abstract
sustainable	abstract
city	abstract
'	abstract
movement	abstract
.	O

Serving	O
as	O
a	O
global	O
model	O
for	O
urban	O
rebirth	O
,	O
Cleveland	place
has	O
been	O
named	O
one	place
of	place
the	place
top	place
10	place
international	place
visitor	place
hotspots	place
by	O
Travel	organization
and	organization
Leisure	organization
magazine	organization
.	O

For	O
decades	O
,	O
the	place
city	place
has	O
boasted	O
of	O
:	O
a	organization
"	organization
Big	organization
Five	organization
"	organization
orchestra	organization
(	O
The	organization
Cleveland	organization
Orchestra	organization
)	O
,	O
the	place
second	place
largest	place
performing	place
arts	place
center	place
in	place
the	place
U.S.	place
(	O
Playhouse	place
Square	place
Center	place
)	O
,	O
a	place
world-renowned	place
art	place
museum	place
(	O
The	place
Cleveland	place
Museum	place
of	place
Art	place
)	O
,	O
the	place
nation	place
's	place
first	place
health	place
museum	place
(	O
HealthSpace	place
Cleveland	place
)	O
,	O
R&D	place
hub	place
of	place
the	place
aerospace	place
and	place
aviation	place
industry	place
(	O
the	place
NASA	place
Glenn	place
Research	place
&	place
Visitors	place
Center	place
)	O
and	O
a	O
number	O
of	O
other	abstract
first-rate	abstract
attractions	abstract
(	O
too	O
many	O
to	O
mention	O
here	O
-	O
read	O
on	O
)	O
.	O
