
Fort	place
Lee	place

Fort	place
Lee	place
is	O
a	O
city	O
in	O
Bergen	place
County	place
.	O

View	abstract
of	abstract
the	abstract
George	abstract
Washington	abstract
Bridge	abstract
's	abstract
long	abstract
span	abstract
and	abstract
Manhattan	abstract
,	O
as	O
seen	O
while	O
looking	O
east	O
from	O
Fort	place
Lee	place
Historic	place
Park	place

Understand	O

Fort	place
Lee	place
is	O
located	O
between	O
the	O
Paramus	O
,	O
NJ	place
retail	O
corridor	O
and	O
Upper	place
Manhattan	place
.	O

This	place
town	place
is	O
comprised	O
of	O
a	person
large	person
residential	person
community	person
that	O
includes	O
Fort	person
Lee	person
natives	person
,	person
transplants	person
from	person
New	person
York	person
,	person
and	person
immigrants	person
,	person
especially	person
from	person
Korea	person
.	O

This	abstract
cultural	abstract
diversity	abstract
is	O
represented	O
through	O
the	O
vast	O
variety	O
of	O
international	place
restaurants	place
and	O
small	place
business	place
,	O
and	O
in	O
particular	O
,	O
there	O
is	O
a	abstract
strong	abstract
Korean	abstract
presence	abstract
that	O
can	O
be	O
seen	O
in	O
retail	place
and	place
dining	place
storefronts	place
.	O

Fort	place
Lee	place
is	O
a	O
small	O
town	O
but	O
is	O
piled	abstract
high	abstract
with	abstract
apartment	abstract
buildings	abstract
.	O

Because	O
Fort	place
Lee	place
is	O
situated	O
above	O
the	O
banks	O
of	O
the	place
Hudson	place
River	place
,	O
there	O
are	O
breathtaking	abstract
views	abstract
from	abstract
almost	abstract
any	abstract
window	abstract
facing	abstract
the	abstract
river	abstract
.	O

The	O
New	place
York	place
City	place
skyline	O
and	O
4th	event
of	event
July	event
fireworks	event
are	O
spectacular	O
over	O
the	place
river	place
.	O

Although	O
it	O
is	O
highly	abstract
built	abstract
up	abstract
,	O
Fort	place
Lee	place
also	O
houses	O
many	O
playing	place
fields	place
and	O
recreational	place
parks	place
as	O
well	O
as	O
bike	place
and	place
running	place
trails	place
.	O

And	O
although	O
there	O
is	O
a	O
great	O
deal	O
of	O
vehicle	abstract
traffic	abstract
to	O
and	O
from	O
the	O
George	place
Washington	place
Bridge	place
,	O
which	O
connects	O
Fort	place
Lee	place
with	O
Manhattan	place
,	O
one	O
of	O
the	O
largest	O
perks	O
of	O
this	place
town	place
is	O
the	O
walking	O
access	O
to	O
many	place
restaurants	place
,	O
convenience	place
stores	place
and	O
mass	organization
transit	organization
,	O
in	O
the	O
form	O
of	O
buses	object
and	object
vans	object
