
Phoenix	place

Phoenix	place
is	O
the	place
capital	place
of	place
the	place
state	place
of	place
Arizona	place
as	place
well	place
as	place
the	place
most	place
populous	place
city	place
in	place
the	place
American	place
Southwest	place
and	place
sixth	place
largest	place
city	place
in	place
the	place
United	place
States	place
.	O

Founded	O
in	O
1871	time
,	O
it	place
has	O
become	O
the	place
region	place
's	place
primary	place
political	place
,	place
cultural	place
,	place
economic	place
,	place
and	place
transportation	place
center	place
.	O

At	O
an	abstract
elevation	abstract
of	abstract
1100	abstract
ft	abstract
(	O
335	quantity
m	quantity
)	O
,	O
it	place
is	O
situated	O
in	O
the	place
biologically	place
unique	place
Sonoran	place
Desert	place
.	O

Over	O
time	O
it	place
has	O
merged	O
with	O
the	place
neighboring	place
cities	place
of	place
Scottsdale	place
,	place
Tempe	place
,	place
Glendale	place
,	place
Peoria	place
,	place
Chandler	place
,	place
and	place
Gilbert	place
to	O
form	O
the	place
Greater	place
Phoenix	place
Metropolitan	place
Area	place
.	O

Currently	O
exurbs	place
such	place
as	place
Apache	place
Junction	place
,	place
Fountain	place
Hills	place
,	place
Queen	place
Creek	place
,	place
and	place
Sun	place
City	place
are	O
becoming	O
part	O
of	O
this	place
metropolitan	place
area	place
as	O
well	O
.	O

Phoenix	place
is	O
extremely	O
hot	O
and	O
dry	O
in	O
the	time
summertime	time
,	O
so	O
always	O
have	O
sunscreen	substance
with	O
you	person
!	O

Understand	O

Why	O
would	O
anybody	person
want	O
to	O
start	O
a	place
city	place
in	O
the	place
middle	place
of	place
a	place
desert	place
?	O

The	abstract
answer	abstract
is	O
,	O
surprisingly	O
,	O
agriculture	abstract
.	O

The	place
Salt	place
and	place
Verde	place
Rivers	place
of	place
central	place
Arizona	place
were	O
exploited	O
for	O
large-scale	abstract
agriculture	abstract
by	O
Native	person
Americans	person
as	O
early	O
as	O
the	time
11th	time
century	time
.	O

The	place
area	place
that	O
now	O
encompasses	O
Phoenix	place
was	O
a	place
center	place
of	place
the	place
Hohokam	place
culture	place
,	O
which	O
built	O
large	object
canal	object
systems	object
and	O
a	abstract
network	abstract
of	abstract
towns	abstract
and	abstract
villages	abstract
,	O
whose	O
remains	object
may	O
be	O
viewed	O
in	O
the	place
city	place
to	O
this	time
day	time
.	O

White	person
settlers	person
discovered	O
the	object
remnants	object
of	object
the	object
Hohokam	object
culture	object
in	O
the	time
19th	time
century	time
.	O

The	abstract
city	abstract
's	abstract
name	abstract
reflects	O
its	abstract
history	abstract
as	O
a	O
city	O
"	O
reborn	O
from	O
the	O
ashes	O
"	O
of	O
the	event
previous	event
settlement	event
.	O

European-American	event
settlement	event
of	event
the	event
area	event
commenced	O
in	O
the	time
1860s	time
,	O
and	O
in	O
1911	time
the	event
completion	event
of	event
the	event
first	event
of	event
several	event
large	event
reservoirs	event
in	event
the	event
mountains	event
north	event
and	event
east	event
of	event
Phoenix	event
insured	O
its	abstract
success	abstract
as	O
a	O
center	O
for	O
irrigation-based	abstract
agriculture	abstract
.	O

Many	quantity
tens	quantity
of	quantity
thousands	quantity
of	quantity
acres	quantity
were	O
planted	O
in	O
citrus	plant
and	O
cotton	plant
and	O
other	plant
crops	plant
,	O
and	O
for	O
many	time
years	time
,	O
intensive	abstract
,	abstract
year-round	abstract
irrigated	abstract
agriculture	abstract
formed	O
the	abstract
basis	abstract
of	abstract
the	abstract
economy	abstract
.	O

Recent	time
years	time
are	O
seeing	O
a	abstract
revival	abstract
,	O
and	O
trendy	place
hotels	place
,	O
bars	place
,	O
shops	place
and	O
restaurants	place
are	O
making	O
it	place
a	O
place	O
to	O
be	O
again	O
.	O

Warm	abstract
and	abstract
sunny	abstract
winter	abstract
weather	abstract
also	O
ensured	O
a	abstract
thriving	abstract
tourism	abstract
industry	abstract
,	O
and	O
encouraged	O
many	person
Easterners	person
and	O
Midwesterners	person
to	O
relocate	O
to	O
Phoenix	place
.	O

High-tech	abstract
industry	abstract
began	O
to	O
flourish	O
after	O
World	event
War	event
II	event
,	O
and	O
since	O
that	time
time	time
the	abstract
growth	abstract
of	abstract
Phoenix	abstract
has	O
been	O
explosive	O
.	O

As	O
a	O
result	O
,	O
a	abstract
population	abstract
of	abstract
just	abstract
over	abstract
100,000	abstract
in	abstract
1950	abstract
has	O
given	O
way	O
to	O
a	abstract
2014	abstract
estimate	abstract
of	abstract
1,537,058	abstract
(	O
with	O
the	place
metro	place
area	place
estimated	O
at	O
4,489,109	quantity
)	O
.	O

Climate	abstract

Phoenix	place
has	O
an	abstract
arid	abstract
climate	abstract
with	abstract
long	abstract
,	abstract
hot	abstract
summers	abstract
and	abstract
very	abstract
mild	abstract
winters	abstract
.	O

It	place
has	O
the	abstract
highest	abstract
average	abstract
temperature	abstract
of	abstract
any	abstract
metropolitan	abstract
area	abstract
in	abstract
the	abstract
States	abstract
.	O

The	abstract
weather	abstract
varies	O
enormously	O
from	O
one	time
season	time
to	O
the	time
next	time
.	O

While	O
it	abstract
's	O
not	O
as	O
cold	O
as	O
in	O
the	place
northern	place
states	place
during	O
the	time
winter	time
,	O
it	abstract
does	O
freeze	O
sometimes	O
,	O
and	O
temperatures	abstract
in	abstract
the	abstract
30s	abstract
°	abstract
F	abstract
(	O
that	abstract
's	O
around	quantity
or	quantity
slightly	quantity
above	quantity
0	quantity
°	quantity
C	quantity
)	O
are	O
not	O
unheard	O
of	O
.	O

In	O
the	time
summer	time
,	O
very	abstract
hot	abstract
and	abstract
dry	abstract
heat	abstract
is	O
the	O
norm	O
.	O

On	O
the	time
hottest	time
days	time
,	O
it	abstract
can	O
get	O
up	O
to	O
115	quantity
°	quantity
F	quantity
(	O
46	quantity
°	quantity
C	quantity
)	O
or	O
more	O
.	O

Monsoon	event
rains	event
with	event
lightning	event
occur	O
regularly	O
from	O
July	time
to	O
September	time
during	O
the	time
late	time
afternoon	time
and	O
evening	time
,	O
occasionally	O
overnight	O
also	O
.	O

April	time
is	O
the	time
most	time
ideal	time
month	time
.	O

In	O
some	place
neighborhoods	place
,	O
cicada	animal
insects	animal
make	O
loud	abstract
sounds	abstract
from	O
sunset	time
to	O
sunrise	time
.	O

Talk	O

English	abstract
is	O
the	abstract
dominant	abstract
language	abstract
in	abstract
Phoenix	abstract
.	O

However	O
,	O
like	O
much	O
of	O
the	place
Southwest	place
with	place
a	place
large	place
Hispanic	place
population	place
,	O
Spanish	abstract
is	O
very	O
widely	O
spoken	O
in	O
Phoenix	place
.	O

Spanish	abstract
is	O
a	abstract
language	abstract
often	O
used	O
for	O
day-to-day	abstract
discourse	abstract
in	O
many	O
places	O
,	O
although	O
English	abstract
is	O
the	abstract
language	abstract
of	abstract
preference	abstract
,	O
especially	O
when	O
dealing	O
with	O
businesses	organization
and	O
government	organization
.	O

Get	O
in	O

By	O
plane	object

Wikimedia	object
Maps	object

Phoenix	place
Sky	place
Harbor	place
International	place
Airport	place
(	O
IATA	place
:	place
PHX	place
)	O
+1602275-4958	O
is	O
the	place
main	place
air	place
gateway	place
to	place
Arizona	place
.	O

It	place
is	O
at	O
the	place
southeast	place
end	place
of	place
Downtown	place
.	O

It	place
is	O
a	place
hub	place
for	place
American	place
Airlines	place
and	place
Southwest	place
Airlines	place
.	O

Terminals	place
are	O
numbered	O
from	O
2	quantity
-	O
4	quantity
.	O

There	O
is	O
no	O
Terminal	place
1	place
.	O

Terminal	place
2	place
:	O
Alaska	organization
(	O
Gates	place
10	place
&	place
11	place
)	O
,	O
Great	organization
Lakes	organization
(	O
Gates	place
C	place
&	place
D	place
)	O
,	O
Spirit	organization
,	O
Sun	organization
Country	organization
,	O
United	organization

Terminal	place
3	place
:	O
Delta	organization
,	O
Frontier	organization
,	O
Hawaiian	person
,	O
JetBlue	organization

Terminal	place
4	place
:	O
Aeroméxico	organization
,	O
Air	organization
Canada	organization
,	O
American	organization
,	O
British	organization
Airways	organization
,	O
Southwest	organization
,	O
Volaris	organization
,	O
WestJet	organization

Valley	abstract
Metro	abstract
#13	abstract
goes	O
west	O
to	O
S	place
75th	place
Ave	place
along	O
S	place
Buckeye	place
(	O
via	O
Greyhound	place
depot	place
)	O
from	O
Terminal	place
2	place
.	O
