
Tulsa	place

Tulsa	place
is	O
in	O
the	place
Green	place
Country	place
region	place
of	place
Oklahoma	place
.	O

It	place
is	O
also	O
called	O
“	O
T-town	abstract
”	O
by	O
the	person
locals	person
and	O
has	O
been	O
called	O
the	abstract
"	abstract
Oil	abstract
Capital	abstract
of	abstract
the	abstract
World	abstract
"	abstract
.	O

The	place
city	place
had	O
about	quantity
391,000	quantity
people	quantity
and	O
the	place
metro	place
area	place
had	O
about	quantity
937,000	quantity
people	quantity
as	O
of	O
2010	time
from	O
the	organization
US	organization
Census	organization
Bureau	organization
.	O

The	place
Tulsa	place
Bartlesville	place
Combined	place
area	place
had	O
988,000	quantity
in	O
the	event
2010	event
census	event
.	O

Understand	O

Tulsa	place
lies	O
in	O
northeastern	place
Oklahoma	place
,	O
at	O
the	O
convergence	O
of	O
the	place
Great	place
Plains	place
and	O
the	place
Ozark	place
Plateau	place
,	O
and	O
receives	O
an	O
average	O
of	O
40	quantity
inches	quantity
of	quantity
precipitation	quantity
each	time
year	time
,	O
both	O
of	O
which	O
account	O
for	O
its	object
abundant	object
beautiful	object
rolling	object
green	object
terrain	object
.	O

As	O
a	O
result	O
,	O
Tulsa	place
breaks	O
the	abstract
Oklahoma	abstract
stereotype	abstract
of	O
being	O
nothing	O
but	O
a	object
flat	object
,	object
arid	object
dust	object
bowl	object
.	O

Summers	time
can	O
be	O
very	O
warm	O
and	O
with	O
the	abstract
cold	abstract
wind	abstract
across	O
the	place
plains	place
it	event
can	event
get	event
very	event
cold	event
in	event
the	event
winter	event
,	O
but	O
it	event
does	O
not	O
last	O
long	O
.	O

The	time
winters	time
are	O
considered	O
to	O
be	O
very	O
mild	O
.	O

There	O
is	O
not	O
much	quantity
snow	quantity
,	O
just	O
a	quantity
few	quantity
inches	quantity
each	time
year	time
,	O
typically	O
,	O
although	O
in	O
2007	time
and	O
again	O
in	O
2008	time
there	O
were	O
rather	object
large	object
"	object
ice	object
storms	object
"	object
.	O

Tulsa	place
has	O
over	quantity
225	quantity
days	quantity
of	quantity
sunshine	quantity
annually	O
.	O

In	O
Tulsa	place
you	person
will	O
find	O
old	abstract
west	abstract
charm	abstract
as	O
well	O
as	O
a	abstract
cosmopolitan	abstract
atmosphere	abstract
.	O

You	person
will	O
find	O
the	person
people	person
of	person
Tulsa	person
love	O
their	place
city	place
and	O
they	person
have	O
that	abstract
southern	abstract
charm	abstract
,	O
so	O
they	person
are	O
willing	O
to	O
help	O
you	person
find	O
your	abstract
way	abstract
around	O
.	O

Tulsa	place
has	O
one	abstract
of	abstract
the	abstract
largest	abstract
concentrations	abstract
of	abstract
Art	abstract
Deco	abstract
in	abstract
the	abstract
nation	abstract
,	O
having	O
been	O
a	place
booming	place
city	place
during	O
the	time
1920s	time
when	O
the	object
architecture	object
was	O
first	O
built	O
by	O
rich	person
oil	person
barons	person
who	O
built	O
stately	object
mansions	object
and	O
turned	O
the	place
Downtown	place
area	place
into	O
a	abstract
treasure	abstract
trove	abstract
of	abstract
art	abstract
.	O

Get	O
in	O

By	O
plane	object

Tulsa	place
International	place
Airport	place
(	O
IATA	place
:	place
TUL	place
)	O
in	O
the	place
northern	place
part	place
of	place
Tulsa	place
.	O

It	place
has	O
major	organization
airlines	organization
with	organization
direct	organization
flights	organization
to	organization
major	organization
cities	organization
in	organization
the	organization
U.S.	organization

It	place
is	O
a	place
small	place
but	place
nice	place
airport	place
with	place
sofas	place
and	place
chairs	place
all	place
around	place
and	place
a	place
very	place
laid-back	place
feel	place
.	O

The	place
car	place
rental	place
area	place
and	O
parking	place
is	O
well	O
integrated	O
.	O

The	place
airport	place
offers	O
free	event
short	event
term	event
parking	event
(	O
first	time
half-hour	time
free	O
)	O
.	O

Richard	place
L.	place
Jones	place
,	place
Jr.	place
Airport	place
(	O
IATA	place
:	place
RVS	place
)	O
(	O
often	O
called	O
the	place
"	place
Riverside	place
Airport	place
"	place
)	O
is	O
south	O
of	O
downtown	place
and	O
is	O
a	place
general	place
aviation	place
airport	place
.	O

By	O
train	object

There	O
is	O
no	O
passenger	abstract
train	abstract
service	abstract
to	O
Tulsa	place
.	O

By	O
car	object

Most	person
Tulsans	person
drive	O
almost	O
everywhere	O
,	O
although	O
bus	abstract
,	abstract
bike	abstract
,	abstract
and	abstract
pedestrian	abstract
routes	abstract
are	O
starting	O
to	O
catch	O
on	O
.	O

From	O
the	place
North	place
/	O
Kansas	place
-	O
US-75	object
South	object
from	object
Bartlesville	object
,	object
OK	object
,	O
or	O
US-169	object
South	object
from	object
Coffeyville	object
,	object
KS	object
.	O

From	O
the	place
Northeast	place
/	O
Missouri	place
-	O
I-44	object
West	object
,	O
aka	O
the	abstract
"	abstract
Will	abstract
Rogers	abstract
Turnpike	abstract
.	O
"	O

The	place
world	place
's	place
former	place
largest	place
McDonalds	place
spans	O
the	place
roadway	place
near	place
Vinita	place
,	place
OK	place
.	O

From	O
the	place
East	place
/	O
Arkansas	place
-	O
US-412	object
West	object
,	O
aka	O
the	abstract
"	abstract
Cherokee	abstract
Turnpike	abstract
.	O
"	O

From	O
the	place
Southeast	place
/	O
Arkansas	place
-	O
The	object
"	object
Muskogee	object
Turnpike	object
.	O
"	O

From	O
the	place
South	place
-	O
US-75	object
from	object
Okmulgee	object
,	object
OK	object
,	O
aka	O
the	abstract
"	abstract
Okmulgee	abstract
Beeline	abstract
.	O
"	O

From	O
the	place
Southwest	place
/	O
Oklahoma	place
City	place
-	O
I-44	object
East	object
,	O
aka	O
the	abstract
"	abstract
Turner	abstract
Turnpike	abstract
.	O
"	O

From	O
the	place
West	place
-	O
US-412	object
East	object
,	O
aka	O
the	abstract
