
How	O
to	O
Detect	O
Arrogant	person
People	person

Do	O
you	person
always	O
seem	O
to	O
cross	O
paths	O
with	O
people	person
who	O
are	O
stuck	O
on	O
themselves	person
,	O
intolerant	O
of	O
people	person
different	person
from	person
them	person
,	O
rude	O
or	O
downright	O
arrogant	O
?	O

These	person
people	person
can	O
be	O
a	O
great	O
source	O
of	O
potential	O
pain	O
,	O
and	O
this	object
article	object
is	O
here	O
to	O
help	O
you	person
sort	O
the	person
arrogant	person
from	O
the	person
not-so-arrogant	person
.	O

Steps	O

Pay	O
attention	O
to	O
their	event
conversations	event
.	O

Do	O
n't	O
eavesdrop	O
,	O
but	O
when	O
they	person
're	O
talking	O
to	O
you	person
or	O
to	O
those	person
around	person
you	person
,	O
listen	O
to	O
them	person
.	O

Is	O
it	O
always	O
about	O
them	person
?	O

Do	O
they	event
get	event
mad	event
or	event
irritated	event
if	event
the	event
centre	event
of	event
attention	event
moves	event
to	event
someone	event
else	event
?	O

These	event
are	O
good	O
signs	O
of	O
arrogance	abstract
.	O

Arrogance	abstract
and	O
smugness	abstract
is	O
often	O
a	O
reflection	O
of	O
limited	abstract
life	abstract
experience	abstract
,	O
and	O
feeling	abstract
concerned	abstract
that	abstract
those	abstract
with	abstract
greater	abstract
life	abstract
experience	abstract
"	abstract
have	abstract
got	abstract
something	abstract
over	abstract
them	abstract
"	O
.	O

Rather	O
than	O
seeking	O
to	O
find	O
out	O
more	O
through	O
questions	abstract
and	abstract
learning	abstract
(	O
actions	abstract
viewed	O
by	O
them	person
as	O
showing	O
vulnerability	O
)	O
,	O
arrogant	person
people	person
tend	O
to	O
generalize	O
from	O
their	abstract
limited	abstract
,	abstract
narrow	abstract
life	abstract
experiences	abstract
and	O
try	O
to	O
impose	O
their	abstract
small	abstract
worldview	abstract
on	O
others	person
.	O

Jealousy	abstract
of	abstract
your	abstract
achievements	abstract
or	abstract
seeming	abstract
lifestyle	abstract
can	O
cause	O
another	person
person	person
to	O
feel	O
smug	O
or	O
arrogant	O
about	O
something	O
they	person
think	O
they	person
do	O
better	O
than	O
you	person
or	O
own	O
/	O
have	O
that	O
you	person
do	O
n't	O
.	O

Arrogant	person
people	person
have	O
an	abstract
extremely	abstract
strong	abstract
need	abstract
to	abstract
look	abstract
good	abstract
.	O

When	event
you	event
make	event
them	event
look	event
bad	event
-	O
even	O
if	O
it	event
is	O
the	O
slightest	O
offense	O
-	O
they	person
will	O
usually	O
be	O
very	O
mad	O
at	O
you	person
.	O

This	event
happens	O
when	O
you	person
question	O
(	O
or	O
at	O
least	O
seem	O
to	O
question	O
)	O
their	abstract
appearance	abstract
,	O
intelligence	abstract
,	O
athletic	abstract
abilities	abstract
,	O
or	O
anything	abstract
else	abstract
relating	abstract
to	abstract
their	abstract
self-image	abstract
.	O

Challenge	O
their	abstract
worldview	abstract
.	O

Do	O
n't	O
be	O
aggressive	O
––	O
just	O
skeptical	O
and	O
curious	O
.	O

If	O
they	person
get	O
upset	O
,	O
gauge	O
their	abstract
anger	abstract
.	O

If	O
it	O
's	O
minimal	O
,	O
they	person
may	O
be	O
simply	O
having	O
a	event
bad	event
day	event
.	O

But	O
if	O
they	person
're	O
enraged	O
,	O
then	O
they	person
may	O
see	O
you	person
as	O
questioning	O
their	abstract
'	abstract
perfect	abstract
little	abstract
world	abstract
.	O
'	O

And	O
having	O
one	abstract
of	abstract
those	abstract
is	O
usually	O
indicative	O
of	O
arrogance	abstract
.	O

At	O
some	O
point	O
or	O
another	O
,	O
most	person
people	person
realize	O
that	abstract
the	abstract
world	abstract
does	abstract
n't	abstract
revolve	abstract
around	abstract
them	abstract
.	O

Arrogant	person
people	person
counteract	O
this	event
by	O
creating	O
an	abstract
atmosphere	abstract
that	abstract
revolves	abstract
around	abstract
them	abstract
,	O
