
How	O
to	O
Grow	O
Basil	plant

Three	abstract
Methods	abstract
:	O
Starting	O
Seeds	plant
Caring	O
for	O
Basil	plant
Harvesting	O
and	O
Using	O
Basil	plant

Basil	plant
is	O
easy	O
to	O
grow	O
,	O
and	O
transforms	O
ordinary	object
meals	object
into	O
culinary	object
treasures	object
!	O

Fresh	plant
basil	plant
not	O
only	O
tastes	O
better	O
than	O
dried	O
,	O
it	plant
actually	O
tastes	O
different	O
,	O
almost	O
as	O
if	O
it	plant
were	O
not	O
the	O
same	O
herb	O
.	O

This	object
article	object
outlines	O
how	O
to	O
plant	O
and	O
harvest	O
basil	plant
.	O

Method	abstract
1	abstract
of	O
3	O
:	O
Starting	O
Seeds	plant

1	O
Choose	O
the	plant
kind	plant
of	plant
basil	plant
you	person
wish	O
to	O
grow	O
.	O

Basil	plant
comes	O
in	O
many	abstract
different	abstract
varieties	abstract
,	O
each	abstract
of	abstract
which	abstract
have	O
a	abstract
unique	abstract
flavor	abstract
and	abstract
smell	abstract
.	O

Read	O
up	O
on	O
different	abstract
types	abstract
of	abstract
basil	abstract
and	O
pick	O
out	O
one	abstract
-	O
or	O
several	abstract
-	O
that	O
appeal	O
to	O
you	person
,	O
then	O
order	O
the	plant
seeds	plant
or	O
buy	O
them	plant
at	O
a	place
garden	place
store	place
.	O

Here	O
are	O
a	abstract
few	abstract
ideas	abstract
:	O

Cinnamon	plant
basil	plant
really	O
does	O
smell	O
like	O
the	object
sweet	object
spice	object
,	O
and	O
it	plant
also	O
has	O
unusually	plant
beautiful	plant
and	plant
fragrant	plant
flowers	plant
.	O

Lemon	plant
basil	plant
actually	O
contains	O
citral	plant
,	O
an	plant
aromatic	plant
compound	plant
found	O
in	O
citrus	plant
fruit	plant
,	O
and	O
smells	O
very	O
lemony	O
.	O

Purple	plant
basil	plant
is	O
often	O
grown	O
for	O
decoration	O
,	O
as	O
well	O
as	O
its	abstract
scent	abstract
and	O
flowers	plant
.	O

There	O
are	O
perennial	plant
basils	plant
which	O
come	O
back	O
year	O
after	O
year	O
,	O
like	O
African	plant
Blue	plant
Basil	plant
(	O
which	O
has	O
pretty	plant
blue	plant
veins	plant
on	O
its	plant
leaves	O
)	O
and	O
Thai	plant
Basil	plant
,	O
while	O
most	O
other	O
varieties	O
are	O
annuals	plant
,	O
which	O
you	person
'll	O
have	O
to	O
plant	O
year	O
after	O
year	O
.	O

Globe	plant
and	plant
Greek	plant
basil	plant
are	O
much	O
more	O
difficult	O
to	O
grow	O
,	O
but	O
form	O
pretty	plant
little	plant
bushes	plant
which	O
stay	O
well-contained	O
.	O

2	O
Start	O
seed	plant
indoors	O
four	O
to	O
six	O
weeks	O
before	O
last	O
frost	event
.	O

Basil	plant
needs	O
warm	abstract
air	abstract
and	abstract
sun	abstract
to	O
do	O
well	O
,	O
so	O
it	abstract
's	O
often	O
easiest	O
to	abstract
start	abstract
the	abstract
seeds	abstract
indoors	abstract
instead	O
of	O
risking	O
that	O
they	plant
'll	O
get	O
damaged	O
by	O
frost	event
.	O

If	O
you	person
live	O
in	O
a	O
hot	O
climate	O
,	O
you	person
can	O
start	O
the	plant
seeds	plant
outside	O
instead	O
.	O

To	O
figure	O
out	O
when	O
the	O
last	O
frost	event
will	O
be	O
,	O
consult	O
an	object
almanac	object
or	O
talk	O
with	O
other	person
gardeners	person
in	O
your	place
area	place
.	O

3	O
Prepare	O
seed	object
containers	object
.	O

Fill	O
flats	object
or	O
individual	object
seed	object
containers	object
with	O
a	O
mixture	object
of	O
equal	O
parts	O
perlite	substance
,	O
vermiculite	substance
,	O
and	O
peat	substance
.	O

Press	O
the	object
mixture	object
slightly	O
to	O
eliminate	O
air	abstract
pockets	abstract
.	O

Dampen	O
the	object
mixture	object
with	O
water	substance
so	O
it	O
's	O
