
How	O
to	O
Get	O
Rid	O
of	O
Mice	animal
Naturally	O

Having	O
mice	animal
in	O
your	place
home	place
is	O
both	O
a	abstract
nuisance	abstract
and	O
a	abstract
health	abstract
hazard	abstract
.	O

They	animal
can	O
cause	O
property	abstract
damage	abstract
,	O
create	O
a	abstract
mess	abstract
,	O
and	O
produce	O
unpleasant	abstract
smells	abstract
.	O

In	O
addition	O
,	O
repelling	O
and	O
removing	O
rodents	animal
from	O
your	place
home	place
can	O
be	O
a	abstract
hassle	abstract
if	O
you	person
do	O
n't	O
know	O
what	O
you	person
are	O
doing	O
.	O

It	event
can	O
also	O
be	O
dangerous	O
if	O
you	person
use	event
toxic	event
chemicals	event
and	event
poisons	event
.	O

It	abstract
's	O
a	abstract
good	abstract
thing	abstract
,	O
then	O
,	O
that	O
there	abstract
are	abstract
some	abstract
simple	abstract
ways	abstract
to	abstract
effectively	abstract
get	abstract
mice	abstract
out	abstract
of	abstract
your	abstract
home	abstract
without	abstract
the	abstract
use	abstract
of	abstract
toxic	abstract
chemicals	abstract
and	abstract
poisons	abstract
.	O

Method	abstract
1	abstract
Discouraging	O
Mice	animal
Naturally	O

Keep	O
your	place
home	place
clean	O
.	O

Many	time
times	time
mice	animal
are	O
drawn	O
into	O
homes	place
on	O
the	abstract
search	abstract
for	abstract
food	abstract
.	O

If	O
there	O
is	O
nothing	object
to	O
eat	O
,	O
mice	animal
will	O
be	O
less	O
likely	O
to	O
stay	O
.	O

Keep	O
all	substance
food	substance
stored	O
properly	O
in	O
airtight	object
containers	object
or	O
in	O
places	place
that	O
are	O
safe	O
from	O
mouse	event
attack	event
.	O
[	O
1	O
]	O

Apply	O
peppermint	substance
oil	substance
.	O

Peppermint	substance
oil	substance
is	O
a	substance
natural	substance
deterrent	substance
.	O

The	abstract
smell	abstract
is	O
simply	O
too	O
intense	O
for	O
rodents	animal
and	O
they	animal
will	O
not	O
try	O
to	O
go	O
near	O
it	abstract
.	O

It	abstract
also	O
helps	O
to	O
mask	O
the	abstract
scent	abstract
of	abstract
any	abstract
tasty	abstract
morsels	abstract
that	O
have	O
been	O
missed	O
when	O
cleaning	O
.	O

It	abstract
also	O
gives	O
the	place
house	place
a	abstract
lovely	abstract
smell	abstract
,	O
and	O
is	O
not	O
toxic	O
,	O
unlike	O
many	abstract
synthetic	abstract
chemical	abstract
treatments	abstract
.	O

You	person
can	O
get	O
peppermint	substance
oil	substance
in	O
most	place
health	place
food	place
stores	place
and	O
even	O
some	place
major	place
grocery	place
stores	place
.	O
[	O
2	O
]	O

Place	O
a	substance
drop	substance
or	substance
two	substance
on	O
a	object
cotton	object
ball	object
.	O

Place	O
a	object
cotton	object
ball	object
under	O
or	O
near	O
your	object
garbage	object
can	object
to	O
deter	O
mice	animal
from	O
getting	O
into	O
it	object
.	O

Place	O
the	object
cotton	object
balls	object
in	O
areas	place
where	O
mice	animal
are	O
likely	O
to	O
enter	O
your	place
house	place
,	O
by	O
doorways	place
,	O
or	O
heat	place
vents	place
,	O
etc	O
.	O

Peppermint	object
oil	object
cotton	object
balls	object
need	O
to	O
be	O
replaced	O
after	O
5	time
-	time
7	time
days	time
,	O
depending	O
upon	O
the	quantity
quantity	quantity
of	quantity
oil	quantity
you	person
put	O
on	O
it	object
.	O

Try	O
growing	O
peppermint	plant
plants	plant
near	O
the	place
entryways	place
.	O

You	person
can	O
use	O
the	object
mint	object
in	O
cooking	event
,	O
as	O
well	O
as	O
it	object
serving	O
a	abstract
deterrent	abstract
purpose	abstract
.	O

Use	O
dried	object
snake	object
feces	object
.	O

Visit	O
a	place
local	place
reptile	place
center	place
,	place
zoo	place
,	place
or	place
pet	place
store	place
and	O
ask	O
for	O
some	object
dried	object
snake	object
poo	object
.	O

You	person
can	O
also	O
sometimes	O
